data,casos_dengue_regiao
2022-01-01,5.857142857142857
2022-01-02,5.857142857142857
2022-01-03,5.857142857142857
2022-01-04,5.857142857142857
2022-01-05,5.857142857142857
2022-01-06,5.857142857142857
2022-01-07,5.857142857142857
2022-01-08,5.857142857142857
2022-01-09,7.0
2022-01-10,7.0
2022-01-11,7.0
2022-01-12,7.0
2022-01-13,7.0
2022-01-14,7.0
2022-01-15,7.0
2022-01-16,9.142857142857142
2022-01-17,9.142857142857142
2022-01-18,9.142857142857142
2022-01-19,9.142857142857142
2022-01-20,9.142857142857142
2022-01-21,9.142857142857142
2022-01-22,9.142857142857142
2022-01-23,7.571428571428571
2022-01-24,7.571428571428571
2022-01-25,7.571428571428571
2022-01-26,7.571428571428571
2022-01-27,7.571428571428571
2022-01-28,7.571428571428571
2022-01-29,7.571428571428571
2022-01-30,7.0
2022-01-31,7.0
2022-02-01,7.0
2022-02-02,7.0
2022-02-03,7.0
2022-02-04,7.0
2022-02-05,7.0
2022-02-06,7.571428571428571
2022-02-07,7.571428571428571
2022-02-08,7.571428571428571
2022-02-09,7.571428571428571
2022-02-10,7.571428571428571
2022-02-11,7.571428571428571
2022-02-12,7.571428571428571
2022-02-13,9.857142857142858
2022-02-14,9.857142857142858
2022-02-15,9.857142857142858
2022-02-16,9.857142857142858
2022-02-17,9.857142857142858
2022-02-18,9.857142857142858
2022-02-19,9.857142857142858
2022-02-20,13.857142857142858
2022-02-21,13.857142857142858
2022-02-22,13.857142857142858
2022-02-23,13.857142857142858
2022-02-24,13.857142857142858
2022-02-25,13.857142857142858
2022-02-26,13.857142857142858
2022-02-27,17.571428571428573
2022-02-28,17.571428571428573
2022-03-01,17.571428571428573
2022-03-02,17.571428571428573
2022-03-03,17.571428571428573
2022-03-04,17.571428571428573
2022-03-05,17.571428571428573
2022-03-06,21.142857142857142
2022-03-07,21.142857142857142
2022-03-08,21.142857142857142
2022-03-09,21.142857142857142
2022-03-10,21.142857142857142
2022-03-11,21.142857142857142
2022-03-12,21.142857142857142
2022-03-13,26.0
2022-03-14,26.0
2022-03-15,26.0
2022-03-16,26.0
2022-03-17,26.0
2022-03-18,26.0
2022-03-19,26.0
2022-03-20,18.142857142857142
2022-03-21,18.142857142857142
2022-03-22,18.142857142857142
2022-03-23,18.142857142857142
2022-03-24,18.142857142857142
2022-03-25,18.142857142857142
2022-03-26,18.142857142857142
2022-03-27,27.0
2022-03-28,27.0
2022-03-29,27.0
2022-03-30,27.0
2022-03-31,27.0
2022-04-01,27.0
2022-04-02,27.0
2022-04-03,24.428571428571427
2022-04-04,24.428571428571427
2022-04-05,24.428571428571427
2022-04-06,24.428571428571427
2022-04-07,24.428571428571427
2022-04-08,24.428571428571427
2022-04-09,24.428571428571427
2022-04-10,30.857142857142858
2022-04-11,30.857142857142858
2022-04-12,30.857142857142858
2022-04-13,30.857142857142858
2022-04-14,30.857142857142858
2022-04-15,30.857142857142858
2022-04-16,30.857142857142858
2022-04-17,44.57142857142857
2022-04-18,44.57142857142857
2022-04-19,44.57142857142857
2022-04-20,44.57142857142857
2022-04-21,44.57142857142857
2022-04-22,44.57142857142857
2022-04-23,44.57142857142857
2022-04-24,44.42857142857143
2022-04-25,44.42857142857143
2022-04-26,44.42857142857143
2022-04-27,44.42857142857143
2022-04-28,44.42857142857143
2022-04-29,44.42857142857143
2022-04-30,44.42857142857143
